SYMBOL	WEIGHT
e	11.218986%
t	8.683927%
i	8.306365%
a	8.144552%
n	7.1736784%
o	6.6882415%
h	6.2028046%
s	6.2028046%
r	6.0949297%
l	4.20712%
d	4.0453076%
c	3.128371%
m	2.9665587%
u	2.5889966%
p	2.3732471%
g	2.10356%
f	1.7259978%
w	1.5641855%
b	1.5641855%
y	1.4023732%
k	1.2944983%
v	0.75512403%
2	0.32362458%
1	0.21574973%
3	0.21574973%
0	0.21574973%
x	0.16181229%
8	0.10787486%
4	0.05393743%
9	0.05393743%
z	0.05393743%
5	0.05393743%
q	0.05393743%
6	0.05393743%

SYMBOL	HUFFMAN CODES
e	010
t	000
i	1111
a	1101
n	1100
o	1010
h	1000
s	1001
r	0111
l	11101
d	11100
c	10110
m	01100
u	00110
p	00101
g	101111
f	101110
w	011010
b	011011
y	001110
k	001001
v	0011111
2	00111100
1	00100000
3	00100001
0	001111011
x	001111010
8	001000100
4	0010001010
9	0010001011
z	0010001100
5	0010001101
q	0010001110
6	0010001111

Total Bits: 7942
